ID,Value,Comment,Syntactic_Role,Particle
derbyshire-1965-p-013-the-origin-of-plants-001,n,,,
derbyshire-1965-p-013-the-origin-of-plants-002,?,not clear what *mokï* is doing,,
derbyshire-1965-p-013-the-origin-of-plants-003,n,,,
derbyshire-1965-p-013-the-origin-of-plants-006,n,,,
derbyshire-1965-p-013-the-origin-of-plants-009,n,,,
derbyshire-1965-p-013-the-origin-of-plants-011,n,,,
derbyshire-1965-p-013-the-origin-of-plants-012,n,,,
derbyshire-1965-p-014-the-origin-of-plants-039,n,,,
derbyshire-1965-p-014-the-origin-of-plants-040,n,,,
derbyshire-1965-p-014-the-origin-of-plants-041,n,,,
derbyshire-1965-p-014-the-origin-of-plants-043,n,,,
derbyshire-1965-p-014-the-origin-of-plants-046,n,,,
derbyshire-1965-p-016-the-origin-of-night-and-darkness-002,n,formulaic,,
derbyshire-1965-p-016-the-origin-of-night-and-darkness-006,n,A + LK-N?,,
derbyshire-1965-p-016-the-origin-of-night-and-darkness-018,n,,,
derbyshire-1965-p-016-the-origin-of-night-and-darkness-020,n,,,
derbyshire-1965-p-017-the-origin-of-night-and-darkness-021,np,,,
derbyshire-1965-p-017-the-origin-of-night-and-darkness-029,n,,,
derbyshire-1965-p-017-the-origin-of-night-and-darkness-040,n,,,
derbyshire-1965-p-017-the-origin-of-night-and-darkness-041,n,,,
derbyshire-1965-p-017-the-origin-of-night-and-darkness-044,n,,,
derbyshire-1965-p-018-the-origin-of-night-and-darkness-051,np,,,
derbyshire-1965-p-018-the-origin-of-night-and-darkness-058,n,,,
derbyshire-1965-p-018-the-origin-of-night-and-darkness-066,n,,,
derbyshire-1965-p-018-the-origin-of-night-and-darkness-067,n,,,
derbyshire-1965-p-019-the-origin-of-night-and-darkness-071,n,,,
derbyshire-1965-p-019-the-origin-of-night-and-darkness-081,np,,,
derbyshire-1965-p-019-the-origin-of-night-and-darkness-082,n,,,
derbyshire-1965-p-019-the-origin-of-night-and-darkness-083,n,,,
derbyshire-1965-p-019-the-origin-of-night-and-darkness-085,n,,,
derbyshire-1965-p-019-the-origin-of-night-and-darkness-086,n,,,
derbyshire-1965-p-020-the-origin-of-night-and-darkness-100,n,,,
derbyshire-1965-p-020-the-origin-of-night-and-darkness-101,n,,,
derbyshire-1965-p-020-the-origin-of-night-and-darkness-102,n,,,
