Example_ID,Value,Comment,Pattern,Positions,Animacy,Role,Particle
histanfo-4,y,,N N ERG,3,hum,a,
histanfo-5,y,,N N POSTP,1,hum,obl,
histanfo-7,n,,,,,,
histanfo-9,n,,,,,,
histanfo-12,n,,,,,,
histanfo-13,n,,,,,,
histanfo-14,n,,,,,,
histanfo-17,n,,,,,,
histanfo-22,n,,,,,,
histanfo-24,n,,,,,,
histanfo-26,n,,,,,,
histanfo-29,n,,,,,,
histanfo-30,n,,,,,,
histanfo-33,n,,,,,,
histanfo-34,y,,DEM N Vt,"1,2",inan,p,
histanfo-40,n,,,,,,
histanfo-45,n,,,,,,
histanfo-47,y,,DEM N POSTP,"1,2",hum,obl,
histanfo-52,n,,,,,,
histanfo-54,n,,,,,,
histgrme-5,n,,,,,,
histgrme-16,n,,,,,,
histgrme-34,n,,,,,,
histgrme-36,n,,,,,,
histgrme-42,n,,,,,,
histgrme-43,n,,,,,,
histgrme-44,n,,,,,,
histgrme-52,n,,,,,,
histgrme-56,n,,,,,,
histgrme-59,n,,,,,,
histgrme-60,n,,,,,,
histgrme-67,n,,,,,,
histgrme-84,n,,,,,,
histgrme-97,n,,,,,,
histgrme-102,n,,,,,,
histgrme-103,n,,,,,,
histgrme-108,n,,,,,,
histgrme-122,n,,,,,,
histgrme-132,n,,,,,,
histgrme-133,n,,,,,,
histgrme-134,?,is *parë* really 'and' here?,,,,,
histaccigrme-1,y,,DEM N ERG,"1,2",inan,a,
histaccigrme-9,n,,,,,,
histaccigrme-10,n,,,,,,
histaccigrme-19,n,,,,,,
histaccigrme-21,n,,,,,,
histaccigrme-25,y,,N N POSTP,"2,3",inan,obl,
histaccigrme-35,n,,,,,,
histaccigrme-40,n,afterthought,,,,,
ctoaragrme-10,n,,,,,,
ctoaragrme-14,?,what is *mërë* doing?,,,,,
ctoaragrme-19,n,,,,,,
ctoaragrme-23,y,,N PART N,"2,4",hum,s,
ctoaragrme-25,n,,,,,,
ctoaragrme-31,y,,DEM N,"7,8",hum,a,
desccasagrme-2,y,,DEM ERG n Vt PART N ERG,"1,6",hum,a,
desccasagrme-4,n,,,,,,
desccasagrme-6,n,,,,,,
desccasagrme-11,y,,DEM N,"5,6",inan,p,
desccasagrme-12,n,,,,,,
desccasagrme-15,n,,,,,,
desccasagrme-16,n,,,,,,
desccasagrme-18,n,,,,,,
desccasagrme-19,n,,,,,,
desccasagrme-21,n,,,,,,
desccasagrme-22,n,,,,,,
desccasagrme-27,n,,,,,,
desccasagrme-29,n,,,,,,
desccasagrme-33,n,,,,,,
desccasagrme-35,n,,,,,,
desccasagrme-36,n,,,,,,
desccasagrme-38,n,,,,,,
desccasagrme-43,n,,,,,,
desccasagrme-44,n,,,,,,
desccasagrme-45,n,,,,,,
desccasagrme-49,y,not 100% that legs are inanimate,ADV DEM N POSTP,"2,3,4",inan,obl,
desccasagrme-50,n,,,,,,
desccasagrme-60,?,"I can see 'three women', but what is the structure of the clause?",,,,,
desccasagrme-61,n,,,,,,
desccasagrme-63,n,,,,,,
desccasagrme-66,n,,,,,,
desccasagrme-68,?,translation suggests missing comma in transcription,,,,,
desccasagrme-73,n,,,,,,
desccasagrme-74,n,,,,,,
desccasagrme-82,n,,,,,,
descmangrme-1,n,,,,,,
descmangrme-2,n,,,,,,
descmangrme-11,n,,,,,,
descmangrme-13,n,,,,,,
descmangrme-15,n,,,,,,
descmangrme-24,n,,,,,,
descmangrme-26,n,,,,,,
descmensgrme-2,n,,,,,,
descmensgrme-4,y,,ADV N,"10,11",inan,adj,
descmensgrme-7,n,,,,,,
descmensgrme-9,n,,,,,,
descmensgrme-10,y,,N N,"3,4",hum,p,
descmensgrme-26,n,,,,,,
descmensgrme-27,n,,,,,,
descmensgrme-29,n,,,,,,
descmensgrme-33,y,,N N POSTP,"1,2",inan,obl,
descmensgrme-36,n,,,,,,
descmensgrme-37,n,,,,,,
descmensgrme-39,n,,,,,,
descmensgrme-42,n,,,,,,
descmensgrme-45,n,,,,,,
descmensgrme-48,y,,N N,"3,4",hum,s,
descmensgrme-56,n,,,,,,
descmensgrme-63,y,,N PART DEM,"7,9",hum,?,
descmensgrme-63,y,,N PART N,"11,13",hum,?,
descmensgrme-66,n,,,,,,
descmensgrme-67,n,,,,,,
descmensgrme-71,n,,,,,,
descmensgrme-75,n,,,,,,
descmensgrme-85,n,,,,,,
descmensgrme-86,n,,,,,,
descmensgrme-88,n,,,,,,
descmensgrme-89,n,,,,,,
descmensgrme-92,n,,,,,,
descmensgrme-96,n,,,,,,
descmensgrme-98,n,,,,,,
descmensgrme-100,n,,,,,,
descmensgrme-106,n,,,,,,
descokigrme-1,n,,,,,,
descokigrme-5,n,,,,,,
descokigrme-18,n,,,,,,
descokigrme-20,n,,,,,,
descokigrme-21,n,,,,,,
descokigrme-36,?,"'we call this yaraki' or 'we call this ""yaraki""'? in the latter case, what is the argument structure of the verb",,,,,
descokigrme-39,?,same issue,,,,,
descokigrme-40,n,,,,,,
descokigrme-45,n,,,,,,
descokigrme-48,y,,DEM N,"3,4",inan,p,
descokigrme-50,?,what is *mërë* doing?,,,,,
descokigrme-54,y,,N DEM,"5,6",hum,s_nvp,
descokigrme-56,n,,,,,,
descokigrme-58,n,,,,,,
conv1stenc-7,y,,N N,"1,2",hum,pssr,
conv1stenc-9,y,,DEM N Vt,"3,4",inan,p,
conv1stenc-10,n,why is there a *t-* on 'name'?,,,,,
conv1stenc-11,n,,,,,,
conv1stenc-19,n,,,,,,
conv1stenc-32,n,,,,,,
conv1stenc-33,y,,N PART Vi PART DEM,"2,6",hum,s,
conv1stenc-35,y,,N N Vt,"5,6",hum,p,
conv1stenc-36,y,,N N POSTP,"5,6",hum,obl,
conv1stenc-37,y,,N N,"3,4",hum,p,
conv1stenc-38,n,,,,,,
conv1stenc-40,n,,,,,,
conv1stenc-48,n,,,,,,
conv1stenc-55,n,,,,,,
conv1stenc-67,n,,,,,,
conv1stenc-69,n,,,,,,
conv1stenc-74,y,,DEM N,"6,7",hum,s,
